epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2005,1.96739,3.94536,2.40107,0.00557,0.92994,0.05755,0.01336,2.23503,15.0275,2.91376,0.000540231,0.000540231,0.000540231
2,20.1695,1.8108,3.33452,2.3151,0.1861,0.10197,0.09448,0.02352,2.07247,23.5889,3.5181,0.00108686,0.00108686,0.00108686
3,29.6852,1.81087,3.22753,2.30569,0.63343,0.07447,0.08983,0.02399,2.25306,43.6766,3.00965,0.00162431,0.00162431,0.00162431
4,39.0766,1.73442,2.86099,2.23598,0.0246,0.06383,0.00938,0.00188,3.19752,99.0454,3.68651,0.00162574,0.00162574,0.00162574
5,48.3479,1.79237,2.90112,2.30048,0.14028,0.13077,0.04575,0.01254,2.08754,65.23,3.07975,0.00161199,0.00161199,0.00161199
6,57.6725,1.69122,2.70896,2.20115,0.18345,0.18585,0.10508,0.05079,2.09091,37.3271,2.89258,0.00159824,0.00159824,0.00159824
7,66.9628,1.61886,2.58688,2.15799,0.07396,0.1658,0.05662,0.01165,2.4799,25.2622,2.94539,0.00158448,0.00158448,0.00158448
8,76.2386,1.55482,2.54316,2.13157,0.28412,0.40503,0.30349,0.10845,1.60506,20.6564,2.36716,0.00157073,0.00157073,0.00157073
9,85.5276,1.62594,2.52304,2.15291,0.21995,0.51868,0.23241,0.07635,1.86899,8.12314,2.54599,0.00155698,0.00155698,0.00155698
10,94.8417,1.56529,2.49081,2.10783,0.3006,0.36345,0.23635,0.06754,1.92411,10.7841,2.73275,0.00154323,0.00154323,0.00154323
11,103.968,1.61435,2.45241,2.14565,0.22761,0.29502,0.19196,0.07681,1.83579,17.3945,2.63712,0.00152947,0.00152947,0.00152947
12,113.194,1.58083,2.37988,2.09248,0.17364,0.19616,0.11212,0.03259,2.2691,7.22426,2.9814,0.00151572,0.00151572,0.00151572
13,122.333,1.58453,2.29284,2.12415,0.15667,0.29346,0.18261,0.0502,2.06712,5.43268,2.7727,0.00150197,0.00150197,0.00150197
14,131.576,1.49221,2.30617,2.06641,0.42365,0.53373,0.37139,0.1189,1.74396,17.0194,2.45888,0.00148821,0.00148821,0.00148821
15,140.807,1.49208,2.12746,2.04838,0.20487,0.34977,0.20917,0.06616,2.08836,13.1617,2.81739,0.00147446,0.00147446,0.00147446
16,150.03,1.45175,2.11476,2.02751,0.31198,0.29971,0.30494,0.09307,1.73586,17.0632,2.78356,0.00146071,0.00146071,0.00146071
17,159.255,1.55921,2.05572,2.02972,0.33724,0.55425,0.45529,0.19298,1.55741,9.89129,2.30662,0.00144696,0.00144696,0.00144696
18,168.407,1.49556,2.02142,2.01632,0.33065,0.38797,0.32385,0.0715,1.93826,16.0742,3.14793,0.0014332,0.0014332,0.0014332
19,177.629,1.39344,1.9487,1.97194,0.29336,0.56149,0.37065,0.13763,1.76159,9.73108,2.55485,0.00141945,0.00141945,0.00141945
20,186.94,1.45844,1.97001,1.98698,0.34503,0.48365,0.33244,0.12385,1.69901,5.72586,2.44883,0.0014057,0.0014057,0.0014057
21,196.181,1.47681,1.97512,2.00874,0.24199,0.38947,0.23957,0.07875,2.03782,4.96619,2.69216,0.00139195,0.00139195,0.00139195
22,205.405,1.41711,1.84961,1.91178,0.47736,0.58874,0.5468,0.2104,1.61145,5.18081,2.42884,0.00137819,0.00137819,0.00137819
23,214.572,1.43721,1.87029,1.94427,0.599,0.55166,0.55695,0.2563,1.42919,9.01291,2.17577,0.00136444,0.00136444,0.00136444
24,223.883,1.39355,1.87344,1.92188,0.55592,0.63723,0.61323,0.29119,1.35148,8.3002,2.0989,0.00135069,0.00135069,0.00135069
25,233.167,1.39979,1.81976,1.9202,0.62677,0.45304,0.52289,0.20284,1.66056,6.56047,2.46104,0.00133693,0.00133693,0.00133693
26,242.349,1.41002,1.71398,1.89797,0.81212,0.37234,0.50883,0.1934,1.49666,7.97648,2.2583,0.00132318,0.00132318,0.00132318
27,251.455,1.38739,1.7529,1.91345,0.5961,0.53996,0.5929,0.23614,1.7594,2.45377,2.44822,0.00130943,0.00130943,0.00130943
28,260.623,1.35512,1.79479,1.88484,0.42828,0.59808,0.52164,0.18101,1.62283,9.25523,2.6197,0.00129568,0.00129568,0.00129568
29,269.818,1.37828,1.73403,1.92656,0.56264,0.69979,0.68684,0.28595,1.50759,4.23044,2.36161,0.00128192,0.00128192,0.00128192
30,279.026,1.37283,1.66268,1.85695,0.6322,0.71666,0.64799,0.29094,1.42467,3.00951,2.22568,0.00126817,0.00126817,0.00126817
31,288.229,1.38834,1.66318,1.89575,0.57929,0.705,0.61824,0.28383,1.37645,7.52308,2.21047,0.00125442,0.00125442,0.00125442
32,297.488,1.338,1.70729,1.8647,0.48158,0.45615,0.39733,0.1665,1.6446,17.2367,2.50952,0.00124066,0.00124066,0.00124066
33,306.693,1.30548,1.63997,1.84442,0.48207,0.6419,0.54819,0.24239,1.56575,4.58065,2.26446,0.00122691,0.00122691,0.00122691
34,315.902,1.34847,1.66384,1.87631,0.52083,0.62065,0.6471,0.2913,1.41736,6.41282,2.19994,0.00121316,0.00121316,0.00121316
35,325.139,1.28189,1.65769,1.81172,0.52479,0.62832,0.59848,0.26297,1.52986,7.04796,2.16948,0.00119941,0.00119941,0.00119941
36,334.332,1.32448,1.61893,1.85128,0.59751,0.6191,0.59737,0.25887,1.47843,4.84552,2.30216,0.00118565,0.00118565,0.00118565
37,343.522,1.2965,1.56965,1.80132,0.62848,0.5897,0.64621,0.25852,1.47007,9.77744,2.32479,0.0011719,0.0011719,0.0011719
38,352.737,1.40376,1.63363,1.90801,0.54296,0.72289,0.60196,0.26306,1.41522,6.03204,2.23289,0.00115815,0.00115815,0.00115815
39,361.91,1.30844,1.57945,1.81464,0.5913,0.59699,0.61291,0.27696,1.41969,6.7,2.15669,0.0011444,0.0011444,0.0011444
40,371.037,1.30319,1.65449,1.81747,0.63777,0.69694,0.71687,0.30483,1.40427,2.87673,2.22749,0.00113064,0.00113064,0.00113064
41,380.246,1.3099,1.58308,1.85815,0.66194,0.64516,0.70971,0.32877,1.36789,6.0113,2.15814,0.00111689,0.00111689,0.00111689
42,389.426,1.33146,1.5974,1.82862,0.55061,0.6625,0.69457,0.32005,1.37411,8.93519,2.10171,0.00110314,0.00110314,0.00110314
43,398.594,1.23609,1.53513,1.79309,0.54968,0.68338,0.64124,0.26391,1.41546,6.37105,2.10308,0.00108938,0.00108938,0.00108938
44,407.829,1.26016,1.4931,1.78974,0.61961,0.78049,0.74144,0.32193,1.48742,5.11092,2.21402,0.00107563,0.00107563,0.00107563
45,417.002,1.24726,1.48611,1.78666,0.75999,0.75363,0.81209,0.4154,1.26975,8.70656,2.09922,0.00106188,0.00106188,0.00106188
46,426.219,1.28095,1.54963,1.8329,0.68008,0.71666,0.74898,0.34744,1.36118,6.73639,2.10942,0.00104813,0.00104813,0.00104813
47,435.391,1.25452,1.48676,1.78838,0.73148,0.6622,0.74398,0.32824,1.37934,6.81205,2.19926,0.00103437,0.00103437,0.00103437
48,444.599,1.28406,1.5092,1.80142,0.65351,0.64365,0.70356,0.31788,1.51915,3.55949,2.22426,0.00102062,0.00102062,0.00102062
49,453.821,1.21501,1.43705,1.76069,0.68103,0.7151,0.71999,0.34885,1.28186,4.96425,2.00839,0.00100687,0.00100687,0.00100687
50,462.964,1.21376,1.48581,1.77904,0.78433,0.67385,0.80074,0.38943,1.25496,6.36065,2.05623,0.000993115,0.000993115,0.000993115
51,472.187,1.20925,1.39596,1.73939,0.65153,0.79871,0.74503,0.34338,1.41317,3.90596,2.14911,0.000979362,0.000979362,0.000979362
52,481.412,1.22981,1.41775,1.74535,0.7258,0.83083,0.81874,0.42416,1.29908,6.11214,2.03281,0.00096561,0.00096561,0.00096561
53,490.556,1.23021,1.38643,1.76856,0.66443,0.80643,0.81471,0.39298,1.37911,4.62697,2.09749,0.000951857,0.000951857,0.000951857
54,499.799,1.18501,1.35376,1.70872,0.76888,0.71043,0.77814,0.38873,1.32858,3.08329,2.03998,0.000938104,0.000938104,0.000938104
55,508.994,1.2225,1.35692,1.74603,0.77114,0.72988,0.80892,0.40594,1.33975,5.1808,2.0777,0.000924352,0.000924352,0.000924352
56,518.179,1.18833,1.40019,1.73051,0.72684,0.77152,0.81143,0.41327,1.32077,6.86081,2.03214,0.000910599,0.000910599,0.000910599
57,527.441,1.14887,1.36941,1.69283,0.7514,0.8037,0.83501,0.39359,1.42085,3.71972,2.13938,0.000896846,0.000896846,0.000896846
58,536.621,1.1692,1.29813,1.70644,0.67869,0.84013,0.79143,0.38252,1.54359,2.33194,2.15819,0.000883093,0.000883093,0.000883093
59,545.794,1.15173,1.30789,1.71363,0.78306,0.85794,0.85608,0.43432,1.37762,3.15958,2.09057,0.00086934,0.00086934,0.00086934
60,555.073,1.1603,1.30862,1.66095,0.69659,0.81707,0.77854,0.35917,1.54495,2.408,2.34637,0.000855588,0.000855588,0.000855588
61,564.33,1.15634,1.31978,1.66022,0.78919,0.81863,0.84156,0.41534,1.45138,3.96755,2.23012,0.000841835,0.000841835,0.000841835
62,573.487,1.16756,1.2658,1.68494,0.72659,0.81681,0.79922,0.40524,1.43819,4.3251,2.08218,0.000828082,0.000828082,0.000828082
63,582.631,1.17303,1.33544,1.70824,0.8645,0.80389,0.86691,0.44767,1.34624,4.49214,2.0347,0.000814329,0.000814329,0.000814329
64,591.896,1.17192,1.3173,1.66239,0.73575,0.8355,0.81554,0.43884,1.34847,3.50455,2.1262,0.000800577,0.000800577,0.000800577
65,601.103,1.10759,1.27514,1.641,0.7811,0.88178,0.8572,0.45273,1.26901,3.47867,1.98385,0.000786824,0.000786824,0.000786824
66,610.36,1.14862,1.30845,1.70386,0.77515,0.78423,0.84743,0.41938,1.33291,2.50801,2.08653,0.000773071,0.000773071,0.000773071
67,619.571,1.15342,1.30611,1.69696,0.76324,0.84923,0.86827,0.41578,1.35386,3.98729,2.05005,0.000759318,0.000759318,0.000759318
68,628.796,1.12726,1.2148,1.63954,0.76966,0.86667,0.83089,0.42356,1.26441,3.68899,1.96413,0.000745566,0.000745566,0.000745566
69,638.017,1.11258,1.25747,1.6509,0.8425,0.80488,0.87472,0.46641,1.2786,2.84175,2.01593,0.000731813,0.000731813,0.000731813
70,647.287,1.09564,1.2062,1.65486,0.8667,0.78516,0.87079,0.46521,1.25573,5.76148,1.9904,0.00071806,0.00071806,0.00071806
71,656.832,1.08771,1.19228,1.60136,0.84854,0.81707,0.86236,0.46222,1.26819,2.91732,2.00858,0.000704307,0.000704307,0.000704307
72,666.063,1.04427,1.13982,1.5782,0.86188,0.75765,0.86607,0.47812,1.23689,2.34862,1.96089,0.000690555,0.000690555,0.000690555
73,675.299,1.13531,1.23999,1.69513,0.75168,0.84146,0.85094,0.47746,1.30904,2.74428,2.01241,0.000676802,0.000676802,0.000676802
74,684.445,1.0911,1.20445,1.65085,0.84391,0.85833,0.90881,0.48693,1.30649,4.56667,2.09195,0.000663049,0.000663049,0.000663049
75,693.562,1.07695,1.19444,1.63232,0.70379,0.8684,0.79595,0.44401,1.27223,7.38476,2.0141,0.000649297,0.000649297,0.000649297
76,702.706,1.0472,1.16176,1.60069,0.7467,0.75921,0.80861,0.37407,1.4728,3.53289,2.22357,0.000635544,0.000635544,0.000635544
77,711.872,1.0837,1.17974,1.62286,0.91915,0.81111,0.89343,0.46583,1.32712,4.83102,2.07239,0.000621791,0.000621791,0.000621791
78,721.059,1.03098,1.11651,1.56188,0.81146,0.84805,0.90206,0.48238,1.26214,6.04069,2.00246,0.000608038,0.000608038,0.000608038
79,730.203,1.07895,1.20505,1.60924,0.89243,0.77608,0.89781,0.49575,1.26146,6.44948,2.02228,0.000594286,0.000594286,0.000594286
80,739.417,1.04201,1.14272,1.5931,0.83983,0.81656,0.8663,0.47822,1.26915,5.1403,1.94831,0.000580533,0.000580533,0.000580533
81,748.629,1.06523,1.15766,1.58414,0.85302,0.85366,0.90781,0.48823,1.21134,5.3603,1.89566,0.00056678,0.00056678,0.00056678
82,758.583,1.01411,1.13707,1.59593,0.81706,0.84302,0.88767,0.50655,1.21806,4.84989,1.91817,0.000553027,0.000553027,0.000553027
83,768.333,1.02725,1.10483,1.58678,0.87999,0.80717,0.91461,0.50849,1.22123,3.45685,1.91749,0.000539275,0.000539275,0.000539275
84,777.784,0.98799,1.05152,1.54631,0.77203,0.85677,0.8901,0.47429,1.33437,2.66691,2.05582,0.000525522,0.000525522,0.000525522
85,787.186,1.03778,1.12473,1.57599,0.88597,0.87127,0.91464,0.51026,1.2849,2.38572,2.00315,0.000511769,0.000511769,0.000511769
86,796.802,1.03349,1.06089,1.56687,0.85345,0.93902,0.92869,0.51866,1.23691,2.55495,1.95387,0.000498016,0.000498016,0.000498016
87,806.652,1.03788,1.11551,1.61294,0.89988,0.8918,0.93599,0.50913,1.32144,3.90805,2.08423,0.000484263,0.000484263,0.000484263
88,816.463,1.00981,1.11859,1.56852,0.81433,0.87273,0.92041,0.489,1.31749,4.19489,2.10294,0.000470511,0.000470511,0.000470511
89,826.149,0.99642,1.04694,1.54203,0.85549,0.85366,0.90702,0.49887,1.25988,3.03492,2.00692,0.000456758,0.000456758,0.000456758
90,835.842,1.02229,1.11016,1.56957,0.91631,0.83761,0.92123,0.52921,1.18556,3.46173,1.92869,0.000443005,0.000443005,0.000443005
91,845.53,1.0087,1.06894,1.56229,0.80252,0.8727,0.89945,0.50722,1.1767,4.86717,1.92435,0.000429253,0.000429253,0.000429253
92,855.243,1.0156,1.03498,1.56714,0.89155,0.86329,0.91572,0.51255,1.20738,3.02813,1.90964,0.0004155,0.0004155,0.0004155
93,864.819,0.98301,1.01496,1.54426,0.88321,0.86585,0.90186,0.49554,1.29129,2.43627,1.98427,0.000401747,0.000401747,0.000401747
94,874.39,1.02501,1.06918,1.56426,0.92823,0.86741,0.94503,0.52108,1.1842,2.53646,1.92983,0.000387994,0.000387994,0.000387994
95,884.43,1.00945,1.06176,1.58686,0.86786,0.92423,0.91669,0.52476,1.14155,3.17673,1.84792,0.000374242,0.000374242,0.000374242
96,895.202,0.96303,1.02897,1.51672,0.97274,0.84102,0.91086,0.52124,1.19291,2.42947,1.87004,0.000360489,0.000360489,0.000360489
97,905.888,0.95473,1.01516,1.52055,0.91545,0.87805,0.92676,0.51479,1.18497,3.07507,1.87317,0.000346736,0.000346736,0.000346736
98,916.33,0.9814,0.98672,1.50461,0.85724,0.89373,0.9077,0.51892,1.21322,3.31393,1.95513,0.000332983,0.000332983,0.000332983
99,926.37,0.96584,0.99636,1.51377,0.85543,0.90944,0.92504,0.5285,1.21559,3.65937,1.94092,0.000319231,0.000319231,0.000319231
100,936.543,0.92327,0.99363,1.50785,0.82966,0.89079,0.92012,0.52952,1.23806,3.2654,1.9999,0.000305478,0.000305478,0.000305478
101,945.295,1.03365,0.95425,1.6393,0.82606,0.87805,0.91426,0.53302,1.15299,3.77893,1.8752,0.000291725,0.000291725,0.000291725
102,954.183,0.96065,0.87641,1.6171,0.87946,0.84613,0.8943,0.52902,1.09798,3.2016,1.80742,0.000277972,0.000277972,0.000277972
103,963.154,0.96334,0.83402,1.59995,0.86392,0.86678,0.88563,0.51423,1.15656,2.50774,1.90874,0.00026422,0.00026422,0.00026422
104,972.111,0.97607,0.86359,1.59173,0.87013,0.87325,0.90878,0.53809,1.07594,2.66112,1.84044,0.000250467,0.000250467,0.000250467
105,980.895,0.95601,0.83106,1.6137,0.89829,0.89024,0.90433,0.55488,1.07942,1.88872,1.83038,0.000236714,0.000236714,0.000236714
106,989.858,0.92628,0.76627,1.60695,0.90585,0.87809,0.92556,0.5376,1.11654,2.50175,1.87249,0.000222961,0.000222961,0.000222961
107,998.83,0.92293,0.8041,1.54325,0.884,0.87627,0.9143,0.52981,1.20022,3.17788,2.01254,0.000209209,0.000209209,0.000209209
108,1008.08,0.94015,0.81315,1.62686,0.90543,0.85318,0.90713,0.53534,1.20903,3.47493,2.00167,0.000195456,0.000195456,0.000195456
109,1016.33,0.92308,0.75855,1.61072,0.91493,0.83238,0.9058,0.54048,1.21005,2.66321,2.02887,0.000181703,0.000181703,0.000181703
110,1024.48,0.90205,0.76126,1.55291,0.89235,0.8691,0.90797,0.54511,1.20886,2.2709,2.0475,0.00016795,0.00016795,0.00016795
111,1032.58,0.89839,0.73431,1.54196,0.86576,0.87805,0.91724,0.5624,1.14409,2.54249,1.94517,0.000154198,0.000154198,0.000154198
112,1040.7,0.8848,0.78804,1.52119,0.90377,0.90207,0.91906,0.56561,1.14321,2.20979,1.96223,0.000140445,0.000140445,0.000140445
113,1048.96,0.89826,0.76465,1.52725,0.91601,0.83871,0.93817,0.5647,1.17604,1.93959,1.98771,0.000126692,0.000126692,0.000126692
114,1057.63,0.85054,0.69601,1.49577,0.95705,0.82984,0.93446,0.56409,1.17648,2.28825,2.01568,0.000112939,0.000112939,0.000112939
115,1065.97,0.81155,0.69733,1.47494,0.93637,0.85998,0.92774,0.56976,1.16419,2.98295,2.01061,9.91865e-05,9.91865e-05,9.91865e-05
116,1075.09,0.84279,0.68851,1.49526,0.90442,0.8493,0.92212,0.57531,1.13736,3.63881,1.99671,8.54337e-05,8.54337e-05,8.54337e-05
117,1084.17,0.82724,0.70444,1.53185,0.86803,0.84606,0.91329,0.57892,1.12633,3.41124,1.97161,7.1681e-05,7.1681e-05,7.1681e-05
118,1092.32,0.80717,0.68074,1.4801,0.92298,0.83394,0.91269,0.57771,1.14928,3.1979,1.98433,5.79283e-05,5.79283e-05,5.79283e-05
119,1100.61,0.83004,0.68241,1.4765,0.89756,0.83394,0.91175,0.58147,1.13765,3.32364,1.96548,4.41755e-05,4.41755e-05,4.41755e-05
120,1108.98,0.81646,0.7291,1.48303,0.90911,0.83394,0.91437,0.58682,1.11314,3.31554,1.91802,3.04227e-05,3.04227e-05,3.04227e-05
